fips,state_abbr,county_name,ahrf_pop_est_2020,ahrf_pop_den_2010,ahrf_phys_pricare,ahrf_phys_total,ahrf_hosp_total,ahrf_hosp_cah,ahrf_hosp_with_ed,ahrf_hosp_with_offcampus_ed,ahrf_hosp_with_pedsed,ahrf_hosp_with_traumactr,ahrf_ed_visits,ahrf_ed_visits_per_capita,ahrf_phys_pricare_per_2000,chr_healthoutcomes_rank,chr_healthoutcomes_quartile,chr_healthfactors_rank,chr_healthfactors_quartile,chr_lengthoflife_rank,chr_lengthoflife_quartile,chr_qualityoflife_rank,chr_qualityoflife_quartile,chr_healthbehaviors_rank,chr_healthbehaviors_quartile,chr_clinicalcare_rank,chr_clinicalcare_quartile,chr_sesfactors_rank,chr_sesfactors_quartile,chr_physenv_rank,chr_physenv_quartile,svi_perc,svi_ses_perc,svi_hcd_perc,svi_msl_perc,svi_htt_perc,syn_provider_count,comm_health_needs_score
13117,GA,Forsyth County,250847.0,783.5,98.0,230.0,1.0,0.0,1.0,0.0,0.0,0.0,61841.0,0.25,0.78,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,39.0,1.0,0.0373,0.0293,0.0614,0.7845,0.0159,12.0,-6.22
13119,GA,Franklin County,23504.0,84.5,6.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,21302.0,0.91,0.51,84.0,3.0,71.0,2.0,114.0,3.0,60.0,2.0,59.0,2.0,127.0,4.0,68.0,2.0,71.0,2.0,0.8462,0.8118,0.8491,0.6227,0.688,8.0,2.22
13121,GA,Fulton County,1077402.0,1748.1,1184.0,5676.0,13.0,0.0,8.0,0.0,0.0,3.0,570301.0,0.53,2.2,12.0,1.0,12.0,1.0,13.0,1.0,17.0,1.0,4.0,1.0,3.0,1.0,60.0,2.0,139.0,4.0,0.5268,0.3245,0.1124,0.8968,0.8259,247.0,-5.59
13123,GA,Gilmer County,31978.0,66.3,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,54.0,2.0,38.0,1.0,89.0,3.0,29.0,1.0,32.0,1.0,80.0,2.0,53.0,2.0,5.0,1.0,0.5599,0.6427,0.4963,0.7049,0.2728,5.0,-3.42
13125,GA,Glascock County,2984.0,21.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,96.0,3.0,69.0,2.0,137.0,4.0,52.0,2.0,113.0,3.0,31.0,1.0,46.0,2.0,155.0,4.0,0.686,0.7105,0.3629,0.3814,0.8628,2.0,-0.57
13127,GA,Glynn County,85568.0,189.7,44.0,228.0,2.0,0.0,1.0,0.0,0.0,0.0,54175.0,0.63,1.03,65.0,2.0,44.0,2.0,69.0,2.0,67.0,2.0,42.0,2.0,71.0,2.0,71.0,2.0,1.0,1.0,0.7159,0.4777,0.8112,0.7908,0.694,17.0,-0.82
13129,GA,Gordon County,58780.0,155.1,24.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,31981.0,0.54,0.82,58.0,2.0,64.0,2.0,61.0,2.0,55.0,2.0,66.0,2.0,105.0,3.0,45.0,2.0,103.0,3.0,0.8806,0.7561,0.8793,0.815,0.7545,8.0,0.25
13131,GA,Grady County,24491.0,55.0,13.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,12442.0,0.51,1.06,68.0,2.0,67.0,2.0,58.0,2.0,78.0,2.0,82.0,3.0,94.0,3.0,54.0,2.0,52.0,2.0,0.9258,0.8567,0.9764,0.8984,0.5234,8.0,0.24
13133,GA,Greene County,18837.0,41.3,12.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,18828.0,1.0,1.27,53.0,2.0,54.0,2.0,40.0,1.0,72.0,2.0,52.0,2.0,18.0,1.0,84.0,3.0,117.0,3.0,0.5379,0.5328,0.5212,0.7552,0.312,8.0,-1.1
13135,GA,Gwinnett County,942627.0,1871.2,617.0,1731.0,4.0,0.0,1.0,0.0,1.0,1.0,209345.0,0.22,1.31,7.0,1.0,14.0,1.0,4.0,1.0,10.0,1.0,8.0,1.0,44.0,2.0,20.0,1.0,140.0,4.0,0.4347,0.3299,0.3324,0.9717,0.2337,164.0,-5.25
13137,GA,Habersham County,46047.0,155.5,22.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,15129.0,0.33,0.96,28.0,1.0,42.0,2.0,31.0,1.0,33.0,1.0,39.0,1.0,85.0,3.0,48.0,2.0,16.0,1.0,0.7146,0.6443,0.333,0.8112,0.7163,13.0,-2.25
